satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.5,0.56,5,185,2,0,0,0,sales,104117
0.74,0.86,3,186,3,1,0,0,sales,112745
0.5,0.82,3,213,3,0,0,0,sales,104653
0.27,0.62,6,136,3,0,0,0,sales,93172
0.76,0.52,2,148,3,0,0,0,sales,105786
0.41,0.87,6,262,6,0,0,0,sales,100427
0.52,0.54,5,247,4,0,0,0,technical,115235
0.82,0.99,3,195,2,0,0,0,support,112743
0.99,0.96,5,261,3,0,0,0,support,119704
0.55,0.55,3,197,3,0,0,0,support,112957
0.88,0.98,3,263,3,1,0,0,technical,95306
0.99,0.9,4,164,3,0,0,0,product_mng,96349
0.78,0.96,4,111,2,0,0,0,sales,106983
0.74,0.68,4,194,2,0,0,0,management,108990
0.8,0.93,4,258,3,0,0,0,sales,97586
0.89,0.7,4,235,2,1,0,0,accounting,111544
0.83,0.84,3,267,3,0,0,0,product_mng,100919
0.59,0.83,4,239,4,0,0,0,hr,108217
0.89,0.66,4,235,3,0,0,0,IT,98443
0.87,0.62,3,176,3,0,0,0,accounting,112110
0.71,0.36,4,278,4,1,0,0,product_mng,94418
0.73,0.83,4,270,2,0,0,0,hr,118150
0.78,0.91,3,238,2,0,0,0,RandD,106938
0.76,0.74,4,235,3,0,0,0,RandD,104349
0.35,0.7,3,107,3,0,0,0,RandD,92972
0.88,0.59,6,243,4,0,0,0,RandD,93770
0.78,0.79,5,233,3,1,0,0,RandD,90951
0.36,0.42,3,206,5,0,0,0,marketing,100049
0.24,0.7,5,172,4,0,0,0,sales,94618
0.55,0.82,3,248,2,0,0,0,accounting,119095
0.91,0.53,3,147,4,1,0,0,support,107626
0.66,0.61,5,259,3,0,0,0,technical,111245
0.57,0.82,3,267,3,0,0,0,management,101629
0.64,0.64,3,263,3,0,0,0,marketing,105780
0.7,0.57,4,211,3,0,0,0,hr,119974
0.54,0.91,3,249,3,0,0,0,technical,119500
0.42,0.86,2,108,5,0,0,0,technical,91389
0.96,0.75,4,165,3,0,0,0,technical,118074
0.58,0.8,3,181,4,0,0,0,technical,102372
0.61,0.59,3,237,2,0,0,0,technical,101793
0.62,0.97,5,180,2,0,0,0,technical,105822
0.68,0.7,3,209,3,0,0,0,technical,113899
0.7,0.83,5,261,4,0,0,0,RandD,104199
0.19,0.99,3,154,2,0,0,0,sales,118548
0.96,0.81,4,211,3,0,0,0,sales,97877
0.63,0.89,4,192,2,0,0,0,sales,99625
0.76,0.72,5,228,2,0,0,0,sales,95049
0.78,0.92,3,169,3,0,0,0,sales,110096
0.54,0.8,3,232,2,0,0,0,accounting,106240
0.6,0.81,2,214,3,0,0,0,hr,104016
0.55,0.74,3,211,3,1,0,0,technical,111865
0.55,0.63,3,201,2,1,0,0,support,116926
0.17,0.88,6,226,3,1,0,0,technical,114450
0.8,0.67,3,164,3,0,0,0,IT,101549
0.95,0.87,3,208,2,0,0,0,IT,104384
0.74,0.57,4,172,3,0,0,0,product_mng,92250
0.83,0.8,4,274,3,0,0,0,RandD,95503
0.68,0.55,4,215,4,0,0,0,sales,102446
0.58,0.79,5,262,2,0,0,0,sales,91509
0.69,0.9,5,226,4,0,0,0,sales,114381
0.84,0.73,3,146,5,1,0,0,technical,102747
0.58,0.65,4,248,4,0,0,0,marketing,108181
0.89,0.52,3,164,3,0,0,0,technical,96607
0.57,0.56,3,224,2,0,0,0,sales,95501
0.56,0.48,4,197,3,1,0,0,technical,103731
0.94,0.76,4,231,3,1,0,0,RandD,113343
0.96,0.83,4,132,6,0,0,0,technical,90213
0.86,1,3,192,3,0,0,0,marketing,117981
0.65,0.57,3,137,4,1,0,0,sales,91267
0.61,0.97,3,199,3,1,0,0,accounting,94423
0.53,0.96,3,181,3,1,0,0,support,115597
0.14,0.76,5,260,6,0,0,0,technical,109179
0.74,1,4,199,4,0,0,0,management,111314
0.47,0.62,6,171,5,1,0,0,marketing,119658
0.6,0.56,4,260,3,0,0,0,marketing,109424
0.81,0.58,3,243,4,0,0,0,marketing,114918
0.95,0.59,2,154,4,0,0,0,sales,96396
0.98,0.8,2,201,2,0,0,0,sales,106134
0.52,0.8,5,234,3,0,0,0,sales,103428
0.9,0.74,3,260,4,0,0,0,technical,116729
0.64,0.93,5,198,2,0,0,0,technical,94318
0.63,0.9,2,242,3,1,0,0,technical,114547
0.87,0.89,4,219,4,0,0,0,technical,92769
0.6,0.55,4,204,3,0,0,0,technical,96062
0.7,0.74,3,157,3,0,0,0,technical,106680
0.15,0.94,5,244,6,0,0,0,technical,92727
0.45,0.75,3,122,3,0,0,0,support,93588
0.5,0.58,4,165,2,0,0,0,sales,96274
0.87,0.82,4,251,3,0,0,0,sales,110487
0.71,0.99,4,238,4,1,0,0,sales,113879
0.98,0.87,4,152,2,0,0,0,sales,104140
0.65,0.77,3,233,2,0,0,0,sales,96307
0.53,0.88,3,150,3,1,0,0,accounting,91691
0.88,0.65,4,224,2,0,0,0,hr,101723
0.62,0.7,5,270,3,0,0,0,technical,91648
0.98,0.5,4,264,3,0,0,0,technical,96844
0.76,0.95,2,156,4,0,0,0,support,97338
0.68,0.61,5,271,2,0,0,0,IT,118568
0.95,0.6,2,144,3,0,0,0,IT,90928
0.64,0.89,3,175,3,1,0,0,product_mng,93098
0.21,0.72,3,245,6,0,0,0,IT,92262
0.83,0.88,3,217,2,1,0,0,support,92677
0.8,0.41,3,188,4,0,0,0,sales,92203
0.4,0.59,3,207,6,0,0,0,sales,104832
0.78,0.98,5,252,3,0,0,0,sales,113371
0.53,0.99,3,188,3,0,0,0,technical,94026
0.92,0.94,5,253,2,0,0,0,technical,100699
0.92,0.78,5,193,4,0,0,0,technical,97287
0.66,0.68,4,152,3,0,0,0,marketing,103306
0.52,0.72,2,160,2,0,0,0,technical,101601
0.55,0.48,3,162,3,0,0,1,management,103051
0.86,0.56,4,247,3,0,0,1,technical,114007
0.49,0.71,2,117,3,0,0,0,marketing,106798
0.94,0.89,3,230,3,1,0,0,marketing,92219
0.99,0.91,3,241,2,0,0,0,sales,117651
0.69,0.84,3,227,3,1,0,0,sales,100842
0.88,0.59,5,147,4,0,0,0,sales,94290
0.89,0.9,3,240,3,0,0,0,sales,116971
0.8,0.58,4,238,2,0,0,0,sales,113480
0.22,0.89,4,262,4,0,0,0,sales,108713
0.87,0.83,4,215,2,0,0,0,sales,104793
0.66,0.66,3,211,4,0,0,0,sales,104766
0.9,0.68,3,156,3,1,0,0,sales,93733
0.95,0.54,4,180,5,0,0,0,sales,104527
0.49,0.79,4,158,3,0,0,0,support,110545
0.17,0.83,6,195,5,0,0,0,support,97230
0.98,0.81,3,180,2,1,0,0,support,96955
0.9,1,2,114,5,0,0,0,support,93632
0.24,0.89,5,228,4,1,0,0,support,107674
0.92,0.79,5,243,3,1,0,0,support,95694
0.36,0.72,3,179,3,0,0,0,support,97597
0.19,0.76,2,158,3,0,0,0,support,111394
0.63,0.93,3,236,4,0,0,0,sales,99917
0.65,0.84,4,247,4,0,0,0,accounting,93787
0.62,0.77,4,256,3,0,0,0,accounting,90747
0.86,0.72,4,178,2,0,0,0,hr,111115
0.53,0.76,2,204,4,0,0,0,hr,105779
0.72,0.74,3,243,2,0,0,0,technical,102045
0.16,0.78,4,280,6,0,0,0,technical,118780
0.77,0.61,4,178,2,1,0,0,support,90291
0.56,0.76,3,134,2,0,0,0,support,95711
0.56,0.85,3,225,3,0,0,0,IT,90105
0.82,0.75,5,160,3,1,0,0,product_mng,115745
0.6,0.9,4,178,3,0,0,1,RandD,115745
0.7,0.64,4,178,3,1,0,1,marketing,110273
0.97,0.61,4,167,3,0,0,1,accounting,91976
0.78,0.54,5,257,3,0,0,0,sales,109243
0.77,0.82,3,147,4,0,0,0,sales,115635
0.95,0.56,5,194,2,0,0,0,sales,119264
0.84,0.83,3,215,3,0,0,0,accounting,116114
0.67,0.81,4,168,2,0,0,0,support,99928
0.71,0.88,4,266,3,0,0,0,sales,100869
0.5,0.85,4,224,6,0,0,0,support,113692
0.92,0.92,3,244,2,0,0,0,sales,92854
0.67,0.71,4,173,3,0,0,0,support,112296
0.14,0.81,4,138,3,1,0,0,sales,113917
0.72,0.59,3,255,2,0,0,0,support,117557
0.58,0.5,4,225,3,0,0,0,support,107213
0.97,0.87,2,175,6,0,0,0,support,94798
0.92,0.55,3,172,2,0,0,0,technical,95539
0.96,0.51,3,237,4,0,0,0,technical,108161
0.73,0.87,4,155,3,1,0,0,technical,96987
0.73,0.71,4,148,3,0,0,0,management,101361
0.53,0.83,4,246,3,0,0,0,IT,112300
0.17,0.82,5,193,5,0,0,0,IT,104233
0.49,0.54,6,214,3,0,0,0,sales,103396
0.44,0.36,2,136,3,0,0,0,technical,102762
0.57,0.56,2,159,3,0,0,0,technical,93332
0.73,0.86,4,133,3,0,0,0,technical,103301
0.64,0.95,3,154,4,0,0,0,technical,117293
0.86,0.96,4,167,3,0,0,0,support,111132
0.77,0.57,4,203,3,1,0,0,support,104779
0.89,0.93,5,150,2,0,0,0,support,113311
0.51,0.58,4,140,3,0,0,0,technical,100181
0.62,0.73,4,191,3,0,0,0,RandD,91103
0.21,0.74,5,141,4,0,0,0,accounting,111253
0.26,0.71,6,189,2,0,0,0,marketing,103517
0.79,0.59,2,157,6,0,0,0,sales,102449
0.34,0.87,4,283,2,0,0,0,sales,107457
0.8,0.55,4,269,3,0,0,0,sales,97589
0.55,0.8,4,260,3,0,0,0,hr,101718
0.71,0.97,3,189,3,1,0,0,technical,114811
0.64,0.65,3,181,2,0,0,0,technical,101819
0.5,0.38,5,175,4,0,0,0,technical,96137
0.64,0.78,5,148,4,0,0,0,sales,106617
0.79,0.54,4,244,3,0,0,0,management,95858
0.54,0.72,5,206,4,0,0,0,sales,113334
0.33,0.82,2,114,5,0,0,0,technical,116590
0.66,0.5,4,263,3,0,0,0,sales,117889
0.98,0.92,3,254,3,0,0,0,technical,113053
0.96,0.82,4,201,2,0,0,0,sales,115545
0.5,0.78,3,206,3,1,0,1,sales,104890
0.98,0.57,5,141,3,0,0,1,sales,109002
0.85,0.57,4,150,3,0,0,1,sales,96112
0.72,0.75,3,166,3,0,0,1,sales,108359
0.78,0.83,4,252,2,0,0,1,sales,113654
0.62,0.43,2,106,2,0,0,1,sales,95235
0.64,0.38,5,171,6,1,0,1,accounting,91207
0.24,0.5,4,232,3,0,0,1,accounting,98306
0.84,0.78,5,172,2,0,0,1,accounting,92651
0.61,0.61,4,239,2,0,0,1,hr,119853
0.79,0.71,4,222,3,0,0,1,hr,94419
0.85,0.56,5,203,3,0,0,0,management,95732
0.77,0.52,3,210,3,1,0,0,IT,93273
0.61,0.97,4,198,2,0,0,0,IT,90702
0.74,0.54,3,175,3,1,0,0,IT,104827
0.56,0.85,5,245,3,0,0,0,IT,113064
0.28,0.97,4,102,3,0,0,0,IT,110017
0.86,0.68,2,192,3,0,0,0,product_mng,118491
0.63,0.78,4,160,2,0,0,0,product_mng,118312
0.69,0.75,3,179,2,1,0,0,sales,104656
0.54,0.58,3,169,2,1,0,0,technical,91977
0.49,0.99,6,205,5,0,0,0,technical,114742
0.81,0.6,3,140,2,0,0,0,technical,103839
0.5,0.85,4,150,2,0,0,0,support,92903
0.93,0.77,3,202,5,0,0,0,support,93501
0.89,0.84,3,166,2,0,0,0,support,115201
0.3,0.48,2,104,2,0,0,0,technical,95008
0.23,0.49,5,214,5,0,0,0,IT,107431
0.99,0.82,6,185,4,1,0,0,sales,115897
0.17,0.86,3,286,6,0,0,0,marketing,96115
0.93,0.82,5,272,3,0,0,0,sales,108983
0.44,0.87,2,140,4,0,0,0,sales,101682
0.78,0.56,5,252,2,0,0,0,sales,103874
0.76,0.87,4,161,3,0,0,0,sales,114739
0.7,0.48,4,229,2,0,0,0,technical,108961
0.71,0.97,3,219,3,0,0,0,technical,94728
0.79,0.6,4,161,3,0,0,0,technical,98826
0.81,0.69,5,109,2,0,0,0,IT,115522
0.35,0.81,5,182,5,0,0,0,sales,97918
0.59,0.57,4,261,2,0,0,0,IT,92330
0.74,0.85,4,105,5,0,0,0,sales,108665
0.17,0.91,6,246,5,0,0,0,IT,118685
0.74,0.48,5,165,2,0,0,0,sales,92509
0.68,0.92,3,226,2,0,0,0,IT,101988
0.17,0.73,4,274,3,0,0,0,accounting,92920
0.84,0.61,4,261,2,0,0,0,accounting,106630
0.96,0.59,3,158,3,1,0,0,accounting,115286
0.62,0.96,5,251,2,0,0,0,hr,109395
0.57,0.7,3,158,3,0,0,0,hr,119549
0.98,0.87,3,246,3,0,0,0,hr,96938
0.72,0.99,4,227,3,0,0,0,hr,115959
0.43,0.46,4,169,5,0,0,0,technical,113653
0.68,0.57,5,187,4,0,0,0,technical,106162
0.69,0.86,4,238,3,0,0,0,technical,97682
0.91,0.66,4,139,3,0,0,0,technical,115492
0.42,0.37,2,284,3,0,0,0,technical,105779
0.56,0.63,4,271,2,1,0,0,product_mng,98669
0.77,0.66,6,181,4,0,0,0,product_mng,104526
0.39,0.38,4,135,2,0,0,0,product_mng,98268
0.52,0.62,3,275,2,0,0,0,IT,97393
0.63,0.91,3,252,2,0,0,0,RandD,112524
0.49,0.46,2,129,2,0,0,0,RandD,106155
0.2,0.47,4,230,4,0,0,0,RandD,117964
0.21,0.94,3,287,5,0,0,0,RandD,111493
0.48,0.51,4,152,4,0,0,0,accounting,103440
0.9,0.66,4,242,3,0,0,0,support,105545
0.17,0.5,4,267,6,0,0,0,support,94374
0.8,0.4,5,199,4,1,0,0,support,114671
0.22,0.96,3,213,3,0,0,0,support,105290
0.61,0.41,3,103,2,0,0,0,technical,111262
0.7,0.68,4,143,5,0,0,0,IT,111397
0.62,0.7,5,180,4,0,0,0,product_mng,92440
0.87,0.98,4,266,2,1,0,0,product_mng,112083
0.63,0.86,4,169,2,0,0,0,sales,104598
0.14,0.52,4,122,2,0,0,0,sales,98962
0.52,0.62,3,179,3,0,0,0,sales,101229
0.76,0.64,4,144,2,0,0,0,sales,94002
0.84,0.54,4,156,4,0,0,0,sales,100355
0.53,0.84,4,219,2,0,0,0,hr,111352
0.75,0.91,4,243,3,0,0,0,technical,100794
0.65,0.6,3,142,2,0,0,0,support,118285
0.53,0.69,4,257,4,0,0,0,support,94776
0.72,0.58,4,255,2,0,0,0,RandD,92729
0.56,0.59,5,209,2,1,0,0,hr,104962
0.57,0.42,4,154,5,0,0,0,RandD,113482
0.59,0.79,3,270,3,0,0,0,technical,106542
0.56,0.56,3,162,2,0,0,0,RandD,91062
0.91,0.81,4,139,2,0,0,0,technical,114788
0.6,0.6,4,201,3,0,0,0,RandD,94105
0.52,0.51,2,232,4,0,0,0,technical,111885
0.32,0.5,2,143,3,0,0,0,technical,117374
0.88,0.99,3,190,5,0,0,0,technical,111342
0.6,0.87,3,196,3,1,0,0,technical,112774
0.72,0.8,3,213,3,0,0,0,technical,102097
0.65,0.9,3,200,3,0,0,0,technical,102897
0.82,0.78,5,166,2,0,0,0,technical,108310
0.67,0.92,5,258,3,0,0,0,technical,99432
0.44,0.87,5,104,4,0,0,0,technical,94471
0.52,0.85,5,173,2,0,0,0,support,98815
0.54,0.51,2,176,3,0,0,0,support,108071
0.67,0.76,5,181,3,0,0,0,support,102376
0.51,0.83,3,136,3,0,0,0,marketing,111447
0.54,0.55,4,208,5,0,0,0,sales,108611
0.53,0.73,5,174,3,0,0,0,accounting,105658
0.72,0.84,4,250,3,0,0,0,support,94921
0.57,0.61,2,189,2,1,0,0,technical,116303
0.81,0.77,3,204,3,0,0,0,management,96637
0.64,0.57,4,217,3,0,0,0,marketing,119395
0.77,0.57,5,162,3,0,0,0,marketing,94046
0.75,0.85,4,272,4,0,0,0,technical,109825
0.79,0.36,3,114,3,0,0,0,technical,118728
0.85,0.65,3,187,2,0,0,0,management,108521
0.15,0.78,5,255,3,0,0,0,IT,107075
0.73,0.67,4,153,3,0,0,0,IT,106799
0.8,0.55,4,144,5,1,0,0,product_mng,111269
0.66,0.84,3,211,4,0,0,0,RandD,106275
0.57,0.5,4,177,2,0,0,0,marketing,109988
0.88,0.89,2,201,3,0,0,0,accounting,111705
0.52,0.82,4,206,2,1,0,0,sales,111452
0.59,0.62,3,212,2,1,0,0,sales,109272
0.64,0.64,3,234,3,1,0,0,sales,91319
0.82,0.52,5,225,2,0,0,0,accounting,103922
0.98,0.98,4,259,2,0,0,0,hr,95453
0.46,0.38,6,140,3,0,0,0,technical,108444
0.65,0.83,4,263,3,1,0,0,support,91624
0.88,0.65,3,268,2,0,0,0,support,92323
0.79,0.66,3,183,3,0,0,0,management,91017
0.51,0.76,2,239,3,0,0,0,support,114160
0.54,0.9,3,164,3,0,0,0,technical,108506
0.57,0.49,3,159,4,1,0,0,technical,95523
0.22,0.57,5,174,6,0,0,0,technical,108869
0.58,0.77,3,180,2,0,0,0,accounting,92474
0.97,0.63,3,270,4,1,0,0,technical,91771
0.74,0.96,5,222,2,0,0,0,support,109022
0.92,0.67,4,241,3,0,0,0,technical,102151
0.24,0.48,4,145,3,1,0,0,technical,99954
0.69,1,5,237,3,0,0,0,technical,90038
0.81,0.57,4,213,4,0,0,0,technical,112495
0.61,0.48,4,257,2,0,0,0,support,117283
0.75,0.86,6,114,4,0,0,0,support,108029
0.69,0.86,4,214,2,0,0,0,support,98796
0.53,0.49,3,191,3,0,0,0,support,104805
0.93,0.96,4,223,3,1,0,0,support,94330
0.15,0.67,5,249,5,0,0,0,support,104546
0.48,0.41,5,286,3,0,0,0,support,98095
0.67,0.73,4,251,3,0,0,0,support,116195
0.73,0.89,3,226,3,1,0,0,technical,95391
0.97,0.58,4,187,4,1,0,0,management,111127
0.54,0.81,3,145,2,0,0,0,marketing,105349
0.59,0.55,4,138,2,0,0,0,marketing,91290
0.99,0.95,3,153,4,0,0,0,marketing,114059
0.79,0.75,4,168,3,0,0,0,sales,96709
0.96,0.37,3,111,2,0,0,0,sales,99040
0.54,0.67,3,154,2,0,0,0,sales,92088
0.67,0.67,4,226,2,0,0,0,technical,116622
0.69,0.94,3,170,3,0,0,0,IT,112030
0.99,0.94,3,244,3,0,0,0,IT,117705
0.76,0.84,5,137,4,0,0,0,IT,106561
0.63,0.43,2,222,4,0,0,0,product_mng,119688
0.89,0.64,3,184,5,0,0,0,RandD,105952
0.52,0.61,5,162,3,0,0,0,marketing,114997
0.65,0.59,3,167,2,0,0,0,technical,92231
0.22,0.61,6,237,5,0,0,0,marketing,111999
0.58,0.59,4,224,3,0,0,0,sales,103897
0.68,0.84,3,209,3,0,0,0,sales,104253
0.22,0.64,6,260,4,0,0,0,hr,98416
0.18,0.97,4,206,3,0,0,0,hr,113906
0.56,0.66,5,216,2,0,0,0,technical,114811
0.32,0.66,5,116,5,1,0,0,technical,107824
0.38,0.64,5,160,3,0,0,0,support,108765
0.58,0.58,3,122,3,0,0,0,management,102655
0.94,0.8,5,170,4,0,0,0,IT,102730
0.99,0.79,3,271,4,0,0,0,marketing,93942
0.5,0.5,4,184,3,0,0,0,support,100661
0.58,0.62,5,270,2,0,0,0,sales,95371
0.89,0.73,3,169,3,0,0,0,support,92497
0.99,0.86,4,196,2,1,0,0,marketing,109462
0.52,0.79,5,265,3,1,0,0,support,91985
0.59,0.76,4,234,3,0,0,0,sales,109292
0.65,0.77,4,273,2,0,0,0,support,105785
0.44,0.42,3,178,3,0,0,0,support,100274
0.98,0.67,4,189,4,0,0,0,support,106940
0.69,0.8,5,203,2,1,0,0,support,114024
0.71,0.56,3,177,4,0,0,0,support,98914
0.54,0.71,5,253,2,1,0,0,support,90913
0.77,0.98,3,273,3,0,0,0,support,110317
0.53,0.43,2,139,3,0,0,0,support,119945
0.64,0.72,3,185,2,1,0,0,technical,108691
0.69,0.59,5,182,4,0,0,0,technical,91926
0.93,0.71,5,270,2,0,0,0,technical,96425
0.58,0.65,3,139,4,0,0,0,management,117311
0.71,0.79,4,261,3,0,0,0,sales,97220
0.2,0.38,6,212,6,0,0,0,sales,107572
0.99,0.57,4,216,3,0,0,0,sales,114976
0.77,0.57,4,238,3,0,0,0,sales,99372
0.8,0.56,2,204,3,0,0,0,sales,92532
0.97,0.5,4,216,2,0,0,0,sales,94436
0.89,0.53,4,208,3,0,0,0,sales,105946
0.97,0.7,4,218,2,0,0,0,sales,94976
0.79,0.9,5,146,3,1,0,0,support,102817
0.66,0.63,3,166,3,0,0,0,IT,114245
0.65,0.48,4,229,3,0,0,0,RandD,119822
0.49,0.6,3,191,3,1,0,0,RandD,111003
0.65,0.49,5,238,4,0,0,0,marketing,115319
0.98,0.89,3,150,3,0,0,0,support,90588
0.14,0.93,4,180,4,0,0,0,marketing,104606
0.15,0.98,2,96,2,0,0,0,sales,116696
0.67,0.87,3,177,4,0,0,0,sales,116715
0.96,0.72,4,228,2,0,0,0,accounting,106188
0.94,0.77,5,233,4,0,0,0,technical,113804
0.18,0.86,6,264,3,0,0,0,technical,106430
0.82,0.59,5,143,2,1,0,0,technical,118095
0.92,0.84,3,220,3,1,0,0,technical,94783
0.61,0.69,4,160,2,1,0,0,support,110747
0.75,0.77,3,178,4,0,0,0,IT,95862
0.96,0.78,3,209,2,0,0,0,product_mng,95982
0.37,0.71,2,139,4,0,0,0,RandD,115582
0.62,0.76,4,163,3,0,0,0,sales,115385
0.77,0.43,4,265,6,0,0,0,support,103514
0.76,0.77,5,133,2,0,0,0,sales,110334
0.16,0.78,4,196,5,0,0,0,technical,95929
0.16,0.72,4,192,6,0,0,0,sales,109138
0.4,0.85,5,99,2,1,0,0,support,109512
0.42,0.67,2,115,3,0,0,0,sales,115816
0.49,0.52,3,225,2,0,0,0,technical,105206
0.59,0.5,3,199,2,0,0,0,technical,90488
0.24,0.65,6,210,5,0,0,0,management,100318
0.18,0.87,6,226,4,0,0,0,IT,116410
0.73,0.62,5,134,3,0,0,0,IT,100989
0.78,0.63,6,111,6,0,0,0,IT,95182
0.94,0.73,5,142,2,1,0,0,IT,90585
0.86,0.53,3,213,3,0,0,0,IT,105088
0.97,0.88,4,139,2,0,0,0,product_mng,95886
0.49,0.54,3,145,3,0,0,0,product_mng,119634
0.82,0.48,4,149,6,0,0,0,product_mng,107761
0.86,0.64,4,147,2,1,0,0,product_mng,101903
0.61,0.45,3,114,3,0,0,0,sales,107108
0.65,0.57,3,168,2,0,0,0,sales,101632
0.95,0.83,4,252,2,0,0,0,sales,111734
0.63,0.64,5,189,4,0,0,0,sales,118952
